"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-07 12:39:23,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:40:55,"VR2W-109388","A69-9002-10687",NA,NA,167,"ADC",NA,NA,NA
2018-07-07 12:41:09,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:44:43,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:46:12,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:46:33,"VR2W-109388","A69-9002-10687",NA,NA,40,"ADC",NA,NA,NA
2018-07-07 12:47:47,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:48:21,"VR2W-109388","A69-9002-10687",NA,NA,28,"ADC",NA,NA,NA
2018-07-07 12:49:30,"VR2W-109388","A69-9006-14585",NA,1294368,4.1002,"°C",NA,NA,NA
2018-07-07 12:51:30,"VR2W-109388","A69-9006-14586",NA,1294368,63.0655,"m",NA,NA,NA
2018-07-07 12:56:57,"VR2W-109388","A69-9006-14559",NA,1294355,23.5558,"°C",NA,NA,NA
2018-07-04 21:05:57,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:08:09,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 21:11:37,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 21:13:53,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:15:38,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 21:17:44,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:20:29,"VR2W-132365","A69-9006-15747",NA,1276051,23.3463,"m",NA,NA,NA
2018-07-04 21:23:14,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:24:45,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 21:26:00,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 21:26:40,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 21:27:45,"VR2W-132365","A69-9002-10683",NA,NA,132,"ADC",NA,NA,NA
2018-07-04 21:28:45,"VR2W-132365","A69-9006-15746",NA,1276051,4.5709,"°C",NA,NA,NA
2018-07-04 21:29:06,"VR2W-132365","A69-1602-29343",NA,1276064,NA,NA,NA,NA,NA
2018-07-04 21:30:27,"VR2W-132365","A69-9002-10683",NA,NA,51,"ADC",NA,NA,NA
2018-07-04 21:31:31,"VR2W-132365","A69-9006-15747",NA,1276051,23.0431,"m",NA,NA,NA
2018-07-04 21:32:46,"VR2W-132365","A69-9002-10683",NA,NA,53,"ADC",NA,NA,NA
